,"English name","OCG status","OCG debut date","TCG status","TCG debut date","TCG Speed Duel status","TCG Speed Duel debut date"
"Dark Magician of Destruction","Dark Magician of Destruction","Not yet released","28 June 2025","Not yet released",,,
"Masked HERO Dusk Crow","Masked HERO Dusk Crow","Not yet released","28 June 2025","Not yet released",,,
"Uzuhime the Manifested Mikanko","Uzuhime the Manifested Mikanko","Not yet released","28 June 2025","Not yet released",,,
"Saiba the Fighting Swordsmith","Saiba the Fighting Swordsmith","Not yet released","2 May 2025","Not yet released",,,
"Mitsurugi Mirror","Mitsurugi Mirror","Not yet released",,"Not yet released","1 May 2025",,
"Mitsurugi Magatama","Mitsurugi Magatama","Not yet released",,"Not yet released","1 May 2025",,
"Mitsurugi no Mikoto, Aramasa","Mitsurugi no Mikoto, Aramasa","Not yet released",,"Not yet released","1 May 2025",,
"Mitsurugi Sacred Boundary","Mitsurugi Sacred Boundary","Not yet released",,"Not yet released","1 May 2025",,
"Mitsurugi no Miko, Wousu","Mitsurugi no Miko, Wousu","Not yet released",,"Not yet released","1 May 2025",,
"Mitsurugi Tempest","Mitsurugi Tempest","Not yet released",,"Not yet released","1 May 2025",,
"Ame no Habakiri no Mitsurugi","Ame no Habakiri no Mitsurugi","Not yet released",,"Not yet released","1 May 2025",,
"Serene Psychic Girl","Serene Psychic Girl","Not yet released","26 April 2025","Not yet released",,,
"Artmegia Graphlare","Artmegia Graphlare","Not yet released","26 April 2025","Not yet released",,,
Spring,Spring,"Not yet released","26 April 2025","Not yet released",,,
"Heroic Champion - Magnum Excalibur","Heroic Champion - Magnum Excalibur","Not yet released","26 April 2025","Not yet released",,,
"Sky Striker Alternative - Lemnis Gate","Sky Striker Alternative - Lemnis Gate","Not yet released","26 April 2025","Not yet released",,,
"Artmegia the Academy City of Divine Arts","Artmegia the Academy City of Divine Arts","Not yet released","26 April 2025","Not yet released",,,
"Silent Psychic Magician","Silent Psychic Magician","Not yet released","26 April 2025","Not yet released",,,
"Tessera the Prime Squire","Tessera the Prime Squire","Not yet released","26 April 2025","Not yet released",,,
Ukanomitsune-no-Onari,Ukanomitsune-no-Onari,"Not yet released","26 April 2025","Not yet released",,,
"Return of the Duelist (card)","Return of the Duelist","Not yet released","26 April 2025","Not yet released",,,
"Artmegia Messena - Awakening","Artmegia Messena - Awakening","Not yet released","26 April 2025","Not yet released",,,
"Dodododo Warrior","Dodododo Warrior","Not yet released","26 April 2025","Not yet released",,,
"Super Quantal Fairy Zetan","Super Quantal Fairy Zetan","Not yet released","26 April 2025","Not yet released",,,
"Hushed Psychic Minister","Hushed Psychic Minister","Not yet released","26 April 2025","Not yet released",,,
"Artmegia Litera","Artmegia Litera","Not yet released","26 April 2025","Not yet released",,,
"Dark Flare Swordsman","Dark Flare Swordsman","Not yet released","26 April 2025","Not yet released",,,
"Gagaga Hope Tactics","Gagaga Hope Tactics","Not yet released","26 April 2025","Not yet released",,,
Theorealize,Theorealize,"Not yet released","26 April 2025","Not yet released",,,
"Thought Cross Archfiend","Thought Cross Archfiend","Not yet released","26 April 2025","Not yet released",,,
"Scheme of the Monarchs","Scheme of the Monarchs","Not yet released","26 April 2025","Not yet released",,,
"Sacramentum Dragoon","Sacramentum Dragoon","Not yet released","26 April 2025","Not yet released",,,
"Morgana the Witch of Eyes","Morgana the Witch of Eyes","Not yet released","26 April 2025","Not yet released",,,
"Gogogo Goblindbergh","Gogogo Goblindbergh","Not yet released","26 April 2025","Not yet released",,,
"Super Quantum Black Layer","Super Quantum Black Layer","Not yet released","26 April 2025","Not yet released",,,
"Mind Procedure","Mind Procedure","Not yet released","26 April 2025","Not yet released",,,
"Imprisoned Deity Beast of Artmegia","Imprisoned Deity Beast of Artmegia","Not yet released","26 April 2025","Not yet released",,,
"Miasma Dragon Tistina","Miasma Dragon Tistina","Not yet released","26 April 2025","Not yet released",,,
"Gaia Stream, the Graceful Force","Gaia Stream, the Graceful Force","Not yet released","26 April 2025","Not yet released",,,
